,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,140105686,SYSC llc,2020-04-10 17:45:12.800,2020,2960623488,2020-03-30,2020-04-10,2020-03-31,CA10,2309.7899999999995,0-15
1,U001,200744019,TARG us,2020-04-03 02:17:28.730,2020,1930659387,2020-03-19,2020-04-03,2020-03-19,NAA8,11173.02,0-15
2,U001,200418007,AM ,2020-03-26 18:49:38.900,2020,1930610806,2020-11-03,2020-03-26,2020-03-11,NAA8,3525.59,0-15
3,U001,200739534,OK systems,2020-04-30 06:29:25.520,2020,1930788296,2020-04-15,2020-04-30,2020-04-15,NAA8,121105.65,0-15
4,U001,200353024,DECA corporation,2020-04-26 19:28:39.910,2020,1930817482,2020-04-23,2020-04-26,2020-04-16,NAM2,3726.06,0-15
5,U001,200744019,TARG associates,2020-04-05 05:28:36.750,2020,1930676042,2020-03-21,2020-04-05,2020-03-21,NAA8,5893.01,0-15
6,CA02,140106408,WAL-M corp,2020-03-16 17:44:59.750,2020,2960618790,2020-06-03,2020-03-16,2020-03-06,CA10,64982.589,0-15
7,U001,200337148,COAS llc,2020-03-17 09:05:49.810,2020,1930592246,2020-02-03,2020-03-17,2020-03-02,NAA8,11380.83,0-15
8,U001,200794332,COST associates,2020-04-22 15:31:30.240,2020,1930731070,2020-07-04,2020-04-22,2020-04-07,NAAX,3863.93,0-15
9,U001,200794332,COST llc,2020-05-08 18:05:25.300,2020,1930803605,2020-04-23,2020-05-08,2020-04-23,NAAX,74453.01,0-15
10,U001,200803720,DEC corp,2020-04-08 03:37:21.940,2020,1930698352,2020-03-25,2020-04-08,2020-03-16,NAM4,138.6,0-15
11,U001,200794332,COST co,2020-03-28 05:44:38.800,2020,1930647189,2020-03-13,2020-03-28,2020-03-13,NAAX,32715.47,0-15
12,U001,200020431,DEC us,2020-05-24 18:52:30.020,2020,1930861637,2020-06-05,2020-05-24,2020-05-01,NAM4,174.72,0-15
13,U001,200769623,WAL-MAR associates,2020-03-27 01:03:13.000,2020,1930635649,2020-12-03,2020-03-27,2020-03-12,NAH4,767.78,0-15
14,CA02,140105785,SHOPPE foundation,2020-04-10 11:17:11.640,2020,2960624627,2020-03-27,2020-04-10,2020-03-31,CA10,1980.7199999999998,0-15
15,U001,200769623,WAL-MAR ,2020-03-14 20:47:47.760,2020,1930577078,2020-02-28,2020-03-14,2020-02-28,NAH4,14514.68,0-15
16,U001,200769623,WAL-MAR foundation,2020-04-25 19:33:27.000,2020,1930774741,2020-10-04,2020-04-25,2020-04-10,NAH4,55400.31,0-15
17,U001,200772670,ASSOCIAT corporation,2020-04-24 03:50:00.000,2020,1930765053,2020-09-04,2020-04-24,2020-04-09,NAU5,174766.36,0-15
18,U001,200900909,SYSCO systems,2020-04-14 04:33:04.160,2020,1930645969,2020-03-13,2020-04-14,2020-03-13,NA32,31512.75,0-15
19,U001,200769623,WAL-MAR systems,2020-04-14 14:57:58.000,2020,1930718081,2020-03-30,2020-04-14,2020-03-30,NAH4,19701.55,0-15
20,U001,200726979,BJ'S  trust,2020-05-01 23:20:00.000,2020,1930788667,2020-04-16,2020-05-01,2020-04-16,NAA8,132.72,0-15
21,U001,200769623,WAL-MAR llc,2020-04-13 09:19:03.000,2020,1930709919,2020-03-29,2020-04-13,2020-03-29,NAH4,1121.15,0-15
22,U001,200769623,WAL-MAR llc,2020-04-21 09:19:03.000,2020,1930752568,2020-06-04,2020-04-21,2020-04-06,NAH4,11394.84,0-15
23,CA02,140105847,GORDON F co,2020-04-18 18:28:47.290,2020,2960627274,2020-08-04,2020-04-18,2020-04-08,CA10,2579.64,0-15
24,U001,200744019,TARG foundation,2020-03-30 14:59:16.040,2020,1930648342,2020-03-15,2020-03-30,2020-03-15,NAA8,52123.3,0-15
25,U001,200769623,WAL-MAR systems,2020-03-25 14:57:58.000,2020,1930632791,2020-10-03,2020-03-25,2020-03-10,NAH4,14994.01,0-15
26,U001,200769623,WAL-MAR llc,2020-03-21 09:19:03.000,2020,1930617194,2020-06-03,2020-03-21,2020-03-06,NAH4,36.06,0-15
27,U001,200418007,AM in,2020-04-21 00:35:42.110,2020,1930752243,2020-06-04,2020-04-21,2020-04-06,NAA8,25836.19,0-15
28,U001,200739006,AL foundation,2020-04-30 05:12:34.770,2020,1930768064,2020-04-15,2020-04-30,2020-04-15,NAA8,4309.05,0-15
29,U001,100031704,DELHAIZE associates,2020-04-30 15:55:55.330,2020,1930789873,2020-04-15,2020-04-30,2020-04-15,NAA8,70181.07,0-15
30,U001,200769623,WAL-MAR trust,2020-04-12 16:23:27.000,2020,1930705172,2020-03-28,2020-04-12,2020-03-28,NAH4,3403.8,0-15
31,U001,200744019,TARG systems,2020-05-14 04:24:36.340,2020,1930620634,2020-10-03,2020-05-14,2020-03-10,NAGD,10665.53,0-15
32,U001,200769623,WAL-MAR ,2020-04-05 20:47:47.760,2020,1930676002,2020-03-21,2020-04-05,2020-03-21,NAH4,7280.51,0-15
33,U001,200726979,BJ'S  corporation,2020-03-17 12:36:55.590,2020,1930585378,2020-02-03,2020-03-17,2020-03-02,NAA8,13681.7,0-15
34,U001,200706844,WINC associates,2020-04-22 21:49:05.000,2020,1930773419,2020-07-04,2020-04-22,2020-04-07,NAA8,33947.85,0-15
35,U001,200793830,M llc,2020-04-23 13:55:11.330,2020,1930767747,2020-08-04,2020-04-23,2020-04-08,NAA8,4537.14,0-15
36,U001,200769623,WAL-MAR foundation,2020-04-21 19:33:27.000,2020,1930750455,2020-06-04,2020-04-21,2020-04-06,NAH4,14355.96,0-15
37,U001,200769623,WAL-MAR systems,2020-04-18 14:57:58.000,2020,1930738904,2020-03-04,2020-04-18,2020-04-03,NAH4,367.71,0-15
38,U001,200769623,WAL-MAR trust,2020-05-21 16:23:27.000,2020,1930862467,2020-06-05,2020-05-21,2020-05-06,NAH4,56284.77,0-15
39,U001,200769623,WAL-MAR systems,2020-03-15 14:57:58.000,2020,1930582162,2020-02-29,2020-03-15,2020-02-29,NAH4,50493.86,0-15
40,U001,200769623,WAL-MAR llc,2020-05-06 09:19:03.000,2020,1930802490,2020-04-21,2020-05-06,2020-04-21,NAH4,15489.43,0-15
41,CA02,140104423,METRO  llc,2020-03-11 17:09:33.080,2020,2960617050,2020-02-27,2020-03-11,2020-03-01,CA10,93179.35199999998,0-15
42,U001,200726979,BJ'S  systems,2020-05-04 22:40:29.000,2020,1930801417,2020-04-19,2020-05-04,2020-04-19,NAA8,360.33,0-15
43,U001,200743996,STATER  llc,2020-05-20 05:49:42.770,2020,1930660304,2020-03-16,2020-05-20,2020-03-16,NAGD,3826.03,0-15
44,U001,200752302,KROGER trust,2020-04-17 09:08:27.820,2020,1930733767,2020-02-04,2020-04-17,2020-04-02,NAA8,96674.05,0-15
45,CA02,140105686,SYSC llc,2020-05-18 17:11:25.700,2020,2960633120,2020-06-05,2020-05-18,2020-05-08,CA10,43230.299,0-15
46,U001,200711029,WEGMAN corp,2020-04-18 09:47:41.560,2020,1930742932,2020-03-04,2020-04-18,2020-04-03,NAA8,14382.22,0-15
47,CA02,CCU001,KRAFT  corporation,2020-04-27 16:10:41.170,2020,2960622220,2020-03-20,2020-04-27,2020-03-23,NAG2,17828.068999999996,0-15
48,U001,200769623,WAL-MAR llc,2020-05-06 09:19:03.000,2020,1930804924,2020-04-21,2020-05-06,2020-04-21,NAH4,35509.95,0-15
49,U001,200769623,WAL-MAR associates,2020-04-20 01:02:35.070,2020,1930746955,2020-05-04,2020-04-20,2020-04-05,NAH4,13512.61,0-15
50,U001,200772670,ASSOCIAT corp,2020-04-08 02:23:13.100,2020,1930698156,2020-03-24,2020-04-08,2020-03-24,NAU5,24421.33,0-15
51,U001,200769623,WAL-MAR co,2020-05-04 12:35:24.720,2020,1930801200,2020-04-19,2020-05-04,2020-04-19,NAH4,11217.33,0-15
52,U001,200769623,WAL-MAR systems,2020-04-28 14:57:58.000,2020,1930776682,2020-04-13,2020-04-28,2020-04-13,NAH4,12554.13,0-15
53,U001,200720238,WOODM co,2020-05-21 04:51:32.180,2020,1930858727,2020-06-05,2020-05-21,2020-05-06,NAA8,126919.03,0-15
54,CA02,140106408,WAL-M in,2020-05-05 18:09:47.920,2020,2960631200,2020-04-25,2020-05-05,2020-04-25,CA10,28537.684,0-15
55,U001,200769623,WAL-MAR co,2020-04-16 12:39:43.920,2020,1930729999,2020-01-04,2020-04-16,2020-04-01,NAH4,24834.9,0-15
